"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
				"tilt_azimuth_207"	
				"tilt_azimuth_208"	
				"tilt_azimuth_209"	
				"tilt_azimuth_210"	
				"tilt_azimuth_211"	
				"tilt_azimuth_212"	
				"tilt_azimuth_213"	
				"tilt_azimuth_214"	
				"tilt_azimuth_215"	
				"tilt_azimuth_216"	
				"tilt_azimuth_217"	
				"tilt_azimuth_218"	
				"tilt_azimuth_219"	
				"tilt_azimuth_220"	
				"tilt_azimuth_221"	
				"tilt_azimuth_222"	
				"tilt_azimuth_223"	
				"tilt_azimuth_224"	
				"tilt_azimuth_225"	
				"tilt_azimuth_226"	
				"tilt_azimuth_227"	
				"tilt_azimuth_228"	
				"tilt_azimuth_229"	
				"tilt_azimuth_230"	
				"tilt_azimuth_231"	
				"tilt_azimuth_232"	
				"tilt_azimuth_233"	
				"tilt_azimuth_234"	
				"tilt_azimuth_235"	
				"tilt_azimuth_236"	
				"tilt_azimuth_237"	
				"tilt_azimuth_238"	
				"tilt_azimuth_239"	
				"tilt_azimuth_240"	
				"tilt_azimuth_241"	
				"tilt_azimuth_242"	
				"tilt_azimuth_243"	
				"tilt_azimuth_244"	
				"tilt_azimuth_245"	
				"tilt_azimuth_246"	
				"tilt_azimuth_247"	
				"tilt_azimuth_248"	
				"tilt_azimuth_249"	
				"tilt_azimuth_250"	
				"tilt_azimuth_251"	
				"tilt_azimuth_252"	
				"tilt_azimuth_253"	
				"tilt_azimuth_254"	
				"tilt_azimuth_255"	
				"tilt_azimuth_256"	
				"tilt_azimuth_257"	
				"tilt_azimuth_258"	
				"tilt_azimuth_259"	
				"tilt_azimuth_260"	
				"tilt_azimuth_261"	
				"tilt_azimuth_262"	
				"tilt_azimuth_263"	
				"tilt_azimuth_264"	
				"tilt_azimuth_265"	
				"tilt_azimuth_266"	
				"tilt_azimuth_267"	
				"tilt_azimuth_268"	
				"tilt_azimuth_269"	
				"tilt_azimuth_270"	
				"tilt_azimuth_271"	
				"tilt_azimuth_272"	
				"tilt_azimuth_273"	
				"tilt_azimuth_274"	
				"tilt_azimuth_275"	
				"tilt_azimuth_276"	
				"tilt_azimuth_277"	
				"tilt_azimuth_278"	
				"tilt_azimuth_279"	
				"tilt_azimuth_280"	
				"tilt_azimuth_281"	
				"tilt_azimuth_282"	
				"tilt_azimuth_283"	
				"tilt_azimuth_284"	
				"tilt_azimuth_285"	
				"tilt_azimuth_286"	
				"tilt_azimuth_287"	
				"tilt_azimuth_288"	
"insolation_incident_yearly_3"			"Long Beach"	"tilt_azimuth_289"	
				"tilt_azimuth_290"	
				"tilt_azimuth_291"	
				"tilt_azimuth_292"	
				"tilt_azimuth_293"	
				"tilt_azimuth_294"	
				"tilt_azimuth_295"	
				"tilt_azimuth_296"	
				"tilt_azimuth_297"	
				"tilt_azimuth_298"	
				"tilt_azimuth_299"	
				"tilt_azimuth_300"	
				"tilt_azimuth_301"	
				"tilt_azimuth_302"	
				"tilt_azimuth_303"	
				"tilt_azimuth_304"	
				"tilt_azimuth_305"	
				"tilt_azimuth_306"	
				"tilt_azimuth_307"	
				"tilt_azimuth_308"	
				"tilt_azimuth_309"	
				"tilt_azimuth_310"	
				"tilt_azimuth_311"	
				"tilt_azimuth_312"	
				"tilt_azimuth_313"	
				"tilt_azimuth_314"	
				"tilt_azimuth_315"	
				"tilt_azimuth_316"	
				"tilt_azimuth_317"	
				"tilt_azimuth_318"	
				"tilt_azimuth_319"	
				"tilt_azimuth_320"	
				"tilt_azimuth_321"	
				"tilt_azimuth_322"	
				"tilt_azimuth_323"	
				"tilt_azimuth_324"	
				"tilt_azimuth_325"	
				"tilt_azimuth_326"	
				"tilt_azimuth_327"	
				"tilt_azimuth_328"	
				"tilt_azimuth_329"	
				"tilt_azimuth_330"	
				"tilt_azimuth_331"	
				"tilt_azimuth_332"	
				"tilt_azimuth_333"	
				"tilt_azimuth_334"	
				"tilt_azimuth_335"	
				"tilt_azimuth_336"	
				"tilt_azimuth_337"	
				"tilt_azimuth_338"	
				"tilt_azimuth_339"	
				"tilt_azimuth_340"	
				"tilt_azimuth_341"	
				"tilt_azimuth_342"	
				"tilt_azimuth_343"	
				"tilt_azimuth_344"	
				"tilt_azimuth_345"	
				"tilt_azimuth_346"	
				"tilt_azimuth_347"	
				"tilt_azimuth_348"	
				"tilt_azimuth_349"	
				"tilt_azimuth_350"	
				"tilt_azimuth_351"	
				"tilt_azimuth_352"	
				"tilt_azimuth_353"	
				"tilt_azimuth_354"	
				"tilt_azimuth_355"	
				"tilt_azimuth_356"	
				"tilt_azimuth_357"	
				"tilt_azimuth_358"	
				"tilt_azimuth_359"	
				"tilt_azimuth_360"	
				"tilt_azimuth_361"	
				"tilt_azimuth_362"	
				"tilt_azimuth_363"	
				"tilt_azimuth_364"	
				"tilt_azimuth_365"	
				"tilt_azimuth_366"	
				"tilt_azimuth_367"	
				"tilt_azimuth_368"	
				"tilt_azimuth_369"	
				"tilt_azimuth_370"	
				"tilt_azimuth_371"	
				"tilt_azimuth_372"	
				"tilt_azimuth_373"	
				"tilt_azimuth_374"	
				"tilt_azimuth_375"	
				"tilt_azimuth_376"	
				"tilt_azimuth_377"	
				"tilt_azimuth_378"	
				"tilt_azimuth_379"	
				"tilt_azimuth_380"	
				"tilt_azimuth_381"	
				"tilt_azimuth_382"	
				"tilt_azimuth_383"	
				"tilt_azimuth_384"	
				"tilt_azimuth_385"	
				"tilt_azimuth_386"	
				"tilt_azimuth_387"	
